Staff ID,Position Title,School Name,Hire Date,Resident,Race/Ethnicity
1,MATH,Hogwarts,10/20/1986,NO,White
2,MATH,Hogwarts,8/22/1988,NO,White
3,SOCIAL SCIENCE 6TH ONLY,HardKnocks,8/22/1988,NO,White
4,SCIENCE,Hogwarts,9/18/1989,NO,White
5,LANGUAGE ARTS 6TH ONLY,Hogwarts,8/24/1992,NO,White
6,LANGUAGE ARTS,HardKnocks,8/24/1992,NO,White
7,SCIENCE,Hogwarts,8/23/1993,NO,White
8,MULTICATEGORICAL,HardKnocks,8/31/1993,YES,White
9,PHYSICAL EDUCATION,Hogwarts,11/15/1993,NO,White
10,LANGUAGE ARTS 6TH ONLY,HardKnocks,1/17/1994,NO,White
11,COUNSELOR,Hogwarts,8/19/1996,YES,White
12,SCIENCE,CoolSchool,8/18/1997,YES,Hispanic
13,LANGUAGE ARTS,Hogwarts,8/20/1997,NO,White
14,LANGUAGE ARTS,CoolSchool,3/17/1998,YES,White
15,FAMILY & CONSUMER SCIENCE,HardKnocks,8/20/1998,YES,Black
16,MULTICATEGORICAL,HardKnocks,8/20/1998,YES,White
17,INSTRUCTIONAL COACH,CoolSchool,8/19/1999,NO,White
18,PHYSICAL EDUCATION,HardKnocks,8/19/1999,NO,White
19,COUNSELOR,HardKnocks,1/10/2000,YES,White
20,MULTICATEGORICAL,Hogwarts,8/17/2000,NO,White
21,LANGUAGE ARTS,CoolSchool,8/17/2000,NO,Hispanic
22,SOCIAL SCIENCE,Hogwarts,8/17/2000,YES,White
23,INTNL BACCALAUREATE COORD,HardKnocks,8/17/2000,YES,White
24,SCIENCE 6TH ONLY,HardKnocks,7/12/2001,NO,White
25,MATH,CoolSchool,8/17/2001,NO,White
26,LANGUAGE ARTS,CoolSchool,8/17/2001,NO,Multi-Racial
27,ENG LANG LEARNER,CoolSchool,9/10/2001,NO,White
28,PHYSICAL EDUCATION,HardKnocks,8/14/2003,NO,White
29,MATH,Hogwarts,8/14/2003,NO,White
